Det-Desc;Avg.Time
SHITOMASI-BRISK;15.3668
SHITOMASI-BRIEF;5.36631
SHITOMASI-ORB;5.63685
SHITOMASI-FREAK;10.7176
SHITOMASI-SIFT;12.5349
HARRIS-BRISK;14.0021
HARRIS-BRIEF;5.29325
HARRIS-ORB;5.5239
HARRIS-FREAK;11.1856
HARRIS-SIFT;12.8547
FAST-BRISK;10.0141
FAST-BRIEF;0.9997
FAST-ORB;1.33625
FAST-FREAK;6.77503
FAST-SIFT;7.32239
BRISK-BRISK;58.5405
BRISK-BRIEF;49.3764
BRISK-ORB;51.7072
BRISK-FREAK;56.4982
BRISK-SIFT;63.6719
ORB-BRISK;21.0308
ORB-BRIEF;6.08824
ORB-ORB;9.60778
ORB-FREAK;11.1608
ORB-SIFT;16.7961
AKAZE-BRISK;47.5711
AKAZE-BRIEF;43.6834
AKAZE-ORB;40.9893
AKAZE-FREAK;47.0565
AKAZE-SIFT;48.9552
SIFT-BRISK;50.7658
SIFT-BRIEF;40.9863
SIFT-FREAK;46.5329
SIFT-SIFT;76.5966
